,date,club,value,squad_s
1122,01/09/2012,Hapoel Beer Sheva,4880000,32
1123,01/09/2012,Maccabi Netanya,5200000,31
1124,01/09/2012,FC Ashdod,4030000,25
1125,01/09/2012,Beitar Jerusalem,4180000,27
1126,01/09/2012,Hapoel Haifa,5480000,26
1127,01/09/2012,Hapoel Tel Aviv,14050000,33
1128,01/09/2012,Ironi Kiryat Shmona,6850000,31
1129,01/09/2012,Hapoel Jerusalem,0,
1130,01/09/2012,Maccabi Bnei Reineh,0,
1131,01/09/2012,Hapoel Hadera,0,
1132,01/09/2012,Ihud Bnei Sakhnin,3330000,25
1133,01/09/2012,Sekzia Ness Ziona,775000,18
1134,01/09/2012,Maccabi Petah Tikva,3780000,27
1135,01/09/2012,Bnei Yehuda Tel Aviv,5930000,31
1136,01/09/2012,Hapoel Nof HaGalil,150000,8
1137,01/09/2012,Hapoel Umm al-Fahm,100000,2
1138,01/09/2012,Hapoel Ramat Gan,3400000,21
1139,01/09/2012,Hapoel Rishon leZion,1330000,31
1140,01/09/2012,Hapoel Petah Tikva,3330000,36
1141,01/09/2012,Ironi Tiberias,0,
1142,01/09/2012,SC Kfar Qasem,0,
1143,01/09/2012,Hapoel Kfar Saba,250000,15
1144,01/09/2012,Hapoel Acre,4100000,26
1145,01/09/2012,Hapoel Ramat haSharon,2830000,28
1146,01/09/2012,Agudat Sport Ashdod,0,
1147,01/09/2012,Hapoel Afula,0,0
1148,15/09/2012,Maccabi Haifa,14200000,24
1149,15/09/2012,Maccabi Tel Aviv,14330000,29
1150,15/09/2012,Hapoel Beer Sheva,4630000,31
1151,15/09/2012,Maccabi Netanya,4550000,30
1152,15/09/2012,FC Ashdod,4430000,27
1153,15/09/2012,Beitar Jerusalem,4780000,29
1154,15/09/2012,Hapoel Haifa,5480000,26
1155,15/09/2012,Hapoel Tel Aviv,16050000,35
1156,15/09/2012,Ironi Kiryat Shmona,7550000,33
1157,15/09/2012,Hapoel Jerusalem,0,
1158,15/09/2012,Maccabi Bnei Reineh,0,
1159,15/09/2012,Hapoel Hadera,0,
1160,15/09/2012,Ihud Bnei Sakhnin,2980000,24
1161,15/09/2012,Sekzia Ness Ziona,775000,18
1162,15/09/2012,Maccabi Petah Tikva,3280000,24
1163,15/09/2012,Bnei Yehuda Tel Aviv,6550000,35
1164,15/09/2012,Hapoel Nof HaGalil,300000,9
1165,15/09/2012,Hapoel Umm al-Fahm,100000,2
1166,15/09/2012,Hapoel Ramat Gan,3630000,22
1167,15/09/2012,Hapoel Rishon leZion,1330000,31
1168,15/09/2012,Hapoel Petah Tikva,3330000,36
1169,15/09/2012,Ironi Tiberias,0,
1170,15/09/2012,SC Kfar Qasem,0,
1171,15/09/2012,Hapoel Kfar Saba,250000,15
1172,15/09/2012,Hapoel Acre,4100000,26
1173,15/09/2012,Hapoel Ramat haSharon,2830000,28
1174,15/09/2012,Agudat Sport Ashdod,0,
1175,15/09/2012,Hapoel Afula,0,0
1176,01/10/2012,Maccabi Haifa,13780000,23
1177,01/10/2012,Maccabi Tel Aviv,15080000,30
1178,01/10/2012,Hapoel Beer Sheva,5030000,31
1179,01/10/2012,Maccabi Netanya,4300000,29
1180,01/10/2012,FC Ashdod,4430000,27
1181,01/10/2012,Beitar Jerusalem,5330000,29
1182,01/10/2012,Hapoel Haifa,5680000,27
1183,01/10/2012,Hapoel Tel Aviv,16050000,35
1184,01/10/2012,Ironi Kiryat Shmona,8900000,37
1185,01/10/2012,Hapoel Jerusalem,0,
1186,01/10/2012,Maccabi Bnei Reineh,0,
1187,01/10/2012,Hapoel Hadera,0,
1188,01/10/2012,Ihud Bnei Sakhnin,2950000,24
1189,01/10/2012,Sekzia Ness Ziona,775000,18
1190,01/10/2012,Maccabi Petah Tikva,3280000,24
1191,01/10/2012,Bnei Yehuda Tel Aviv,6550000,35
1192,01/10/2012,Hapoel Nof HaGalil,450000,10
1193,01/10/2012,Hapoel Umm al-Fahm,100000,2
1194,01/10/2012,Hapoel Ramat Gan,3780000,24
1195,01/10/2012,Hapoel Rishon leZion,1330000,31
1196,01/10/2012,Hapoel Petah Tikva,3130000,35
1197,01/10/2012,Ironi Tiberias,0,
1198,01/10/2012,SC Kfar Qasem,0,
1199,01/10/2012,Hapoel Kfar Saba,250000,15
1200,01/10/2012,Hapoel Acre,3900000,26
1201,01/10/2012,Hapoel Ramat haSharon,2830000,28
1202,01/10/2012,Agudat Sport Ashdod,0,
1203,01/10/2012,Hapoel Afula,0,1
1204,15/10/2012,Maccabi Haifa,14330000,26
1205,15/10/2012,Maccabi Tel Aviv,14300000,26
1206,15/10/2012,Hapoel Beer Sheva,5630000,32
1207,15/10/2012,Maccabi Netanya,4200000,26
1208,15/10/2012,FC Ashdod,3780000,27
1209,15/10/2012,Beitar Jerusalem,5200000,26
1210,15/10/2012,Hapoel Haifa,4980000,25
1211,15/10/2012,Hapoel Tel Aviv,13800000,28
1212,15/10/2012,Ironi Kiryat Shmona,7850000,29
1213,15/10/2012,Hapoel Jerusalem,0,
1214,15/10/2012,Maccabi Bnei Reineh,0,
1215,15/10/2012,Hapoel Hadera,0,
1216,15/10/2012,Ihud Bnei Sakhnin,5000000,28
1217,15/10/2012,Sekzia Ness Ziona,1000000,22
1218,15/10/2012,Maccabi Petah Tikva,3330000,27
1219,15/10/2012,Bnei Yehuda Tel Aviv,5680000,30
1220,15/10/2012,Hapoel Nof HaGalil,550000,10
1221,15/10/2012,Hapoel Umm al-Fahm,100000,2
1222,15/10/2012,Hapoel Ramat Gan,4280000,29
1223,15/10/2012,Hapoel Rishon leZion,575000,26
1224,15/10/2012,Hapoel Petah Tikva,2680000,33
1225,15/10/2012,Ironi Tiberias,0,
1226,15/10/2012,SC Kfar Qasem,0,
1227,15/10/2012,Hapoel Kfar Saba,300000,15
1228,15/10/2012,Hapoel Acre,4580000,29
1229,15/10/2012,Hapoel Ramat haSharon,2980000,21
1230,15/10/2012,Agudat Sport Ashdod,0,
1231,15/10/2012,Hapoel Afula,75000,3
1232,01/11/2012,Maccabi Haifa,14330000,26
1233,01/11/2012,Maccabi Tel Aviv,14250000,25
1234,01/11/2012,Hapoel Beer Sheva,5680000,33
1235,01/11/2012,Maccabi Netanya,4200000,26
1236,01/11/2012,FC Ashdod,3950000,30
1237,01/11/2012,Beitar Jerusalem,5200000,26
1238,01/11/2012,Hapoel Haifa,5380000,27
1239,01/11/2012,Hapoel Tel Aviv,13800000,28
1240,01/11/2012,Ironi Kiryat Shmona,7450000,28
1241,01/11/2012,Hapoel Jerusalem,0,
1242,01/11/2012,Maccabi Bnei Reineh,0,
1243,01/11/2012,Hapoel Hadera,0,
1244,01/11/2012,Ihud Bnei Sakhnin,5000000,28
1245,01/11/2012,Sekzia Ness Ziona,1000000,22
1246,01/11/2012,Maccabi Petah Tikva,3180000,26
1247,01/11/2012,Bnei Yehuda Tel Aviv,5680000,30
1248,01/11/2012,Hapoel Nof HaGalil,550000,10
1249,01/11/2012,Hapoel Umm al-Fahm,100000,2
1250,01/11/2012,Hapoel Ramat Gan,4780000,31
1251,01/11/2012,Hapoel Rishon leZion,575000,26
1252,01/11/2012,Hapoel Petah Tikva,2680000,33
1253,01/11/2012,Ironi Tiberias,0,
1254,01/11/2012,SC Kfar Qasem,0,
1255,01/11/2012,Hapoel Kfar Saba,200000,14
1256,01/11/2012,Hapoel Acre,4580000,29
1257,01/11/2012,Hapoel Ramat haSharon,3080000,22
1258,01/11/2012,Agudat Sport Ashdod,0,
1259,01/11/2012,Hapoel Afula,75000,3
1260,15/11/2012,Maccabi Haifa,12980000,26
1261,15/11/2012,Maccabi Tel Aviv,14800000,25
1262,15/11/2012,Hapoel Beer Sheva,5680000,33
1263,15/11/2012,Maccabi Netanya,4200000,26
1264,15/11/2012,FC Ashdod,3950000,30
1265,15/11/2012,Beitar Jerusalem,5200000,26
1266,15/11/2012,Hapoel Haifa,5380000,27
1267,15/11/2012,Hapoel Tel Aviv,13800000,28
1268,15/11/2012,Ironi Kiryat Shmona,7450000,28
1269,15/11/2012,Hapoel Jerusalem,0,
1270,15/11/2012,Maccabi Bnei Reineh,0,
1271,15/11/2012,Hapoel Hadera,0,
1272,15/11/2012,Ihud Bnei Sakhnin,5000000,28
1273,15/11/2012,Sekzia Ness Ziona,1000000,22
1274,15/11/2012,Maccabi Petah Tikva,3180000,26
1275,15/11/2012,Bnei Yehuda Tel Aviv,5680000,30
1276,15/11/2012,Hapoel Nof HaGalil,550000,10
1277,15/11/2012,Hapoel Umm al-Fahm,100000,2
1278,15/11/2012,Hapoel Ramat Gan,4780000,31
1279,15/11/2012,Hapoel Rishon leZion,575000,26
1280,15/11/2012,Hapoel Petah Tikva,2680000,33
1281,15/11/2012,Ironi Tiberias,0,
1282,15/11/2012,SC Kfar Qasem,0,
1283,15/11/2012,Hapoel Kfar Saba,200000,14
1284,15/11/2012,Hapoel Acre,4580000,29
1285,15/11/2012,Hapoel Ramat haSharon,3080000,22
1286,15/11/2012,Agudat Sport Ashdod,0,
1287,15/11/2012,Hapoel Afula,75000,3
1288,01/12/2012,Maccabi Haifa,12900000,25
1289,01/12/2012,Maccabi Tel Aviv,14800000,25
1290,01/12/2012,Hapoel Beer Sheva,6080000,33
1291,01/12/2012,Maccabi Netanya,4600000,27
1292,01/12/2012,FC Ashdod,4150000,29
1293,01/12/2012,Beitar Jerusalem,5380000,26
1294,01/12/2012,Hapoel Haifa,5230000,29
1295,01/12/2012,Hapoel Tel Aviv,13780000,24
1296,01/12/2012,Ironi Kiryat Shmona,7800000,28
1297,01/12/2012,Hapoel Jerusalem,0,
1298,01/12/2012,Maccabi Bnei Reineh,0,
1299,01/12/2012,Hapoel Hadera,0,
1300,01/12/2012,Ihud Bnei Sakhnin,4880000,27
1301,01/12/2012,Sekzia Ness Ziona,1000000,22
1302,01/12/2012,Maccabi Petah Tikva,3180000,26
1303,01/12/2012,Bnei Yehuda Tel Aviv,5900000,30
1304,01/12/2012,Hapoel Nof HaGalil,550000,10
1305,01/12/2012,Hapoel Umm al-Fahm,100000,2
1306,01/12/2012,Hapoel Ramat Gan,4700000,31
1307,01/12/2012,Hapoel Rishon leZion,575000,27
1308,01/12/2012,Hapoel Petah Tikva,2680000,33
1309,01/12/2012,Ironi Tiberias,0,
1310,01/12/2012,SC Kfar Qasem,0,
1311,01/12/2012,Hapoel Kfar Saba,200000,14
1312,01/12/2012,Hapoel Acre,5050000,29
1313,01/12/2012,Hapoel Ramat haSharon,3050000,22
1314,01/12/2012,Agudat Sport Ashdod,0,
1315,01/12/2012,Hapoel Afula,75000,3
1316,15/12/2012,Maccabi Haifa,12900000,25
1317,15/12/2012,Maccabi Tel Aviv,14800000,25
1318,15/12/2012,Hapoel Beer Sheva,6080000,33
1319,15/12/2012,Maccabi Netanya,4600000,27
1320,15/12/2012,FC Ashdod,4150000,29
1321,15/12/2012,Beitar Jerusalem,5380000,26
1322,15/12/2012,Hapoel Haifa,5230000,29
1323,15/12/2012,Hapoel Tel Aviv,13780000,24
1324,15/12/2012,Ironi Kiryat Shmona,7250000,28
1325,15/12/2012,Hapoel Jerusalem,0,
1326,15/12/2012,Maccabi Bnei Reineh,0,
1327,15/12/2012,Hapoel Hadera,0,
1328,15/12/2012,Ihud Bnei Sakhnin,4880000,27
1329,15/12/2012,Sekzia Ness Ziona,1000000,22
1330,15/12/2012,Maccabi Petah Tikva,3180000,26
1331,15/12/2012,Bnei Yehuda Tel Aviv,5900000,30
1332,15/12/2012,Hapoel Nof HaGalil,550000,10
1333,15/12/2012,Hapoel Umm al-Fahm,100000,2
1334,15/12/2012,Hapoel Ramat Gan,4700000,31
1335,15/12/2012,Hapoel Rishon leZion,575000,27
1336,15/12/2012,Hapoel Petah Tikva,2680000,33
1337,15/12/2012,Ironi Tiberias,0,
1338,15/12/2012,SC Kfar Qasem,0,
1339,15/12/2012,Hapoel Kfar Saba,200000,14
1340,15/12/2012,Hapoel Acre,5050000,30
1341,15/12/2012,Hapoel Ramat haSharon,3050000,24
1342,15/12/2012,Agudat Sport Ashdod,0,
1343,15/12/2012,Hapoel Afula,75000,3
1344,01/01/2013,Maccabi Haifa,13150000,26
1345,01/01/2013,Maccabi Tel Aviv,14980000,26
1346,01/01/2013,Hapoel Beer Sheva,6080000,33
1347,01/01/2013,Maccabi Netanya,4600000,27
1348,01/01/2013,FC Ashdod,4150000,29
1349,01/01/2013,Beitar Jerusalem,5130000,25
1350,01/01/2013,Hapoel Haifa,5230000,29
1351,01/01/2013,Hapoel Tel Aviv,13780000,24
1352,01/01/2013,Ironi Kiryat Shmona,7250000,28
1353,01/01/2013,Hapoel Jerusalem,0,
1354,01/01/2013,Maccabi Bnei Reineh,0,
1355,01/01/2013,Hapoel Hadera,0,
1356,01/01/2013,Ihud Bnei Sakhnin,4980000,28
1357,01/01/2013,Sekzia Ness Ziona,1000000,22
1358,01/01/2013,Maccabi Petah Tikva,3180000,26
1359,01/01/2013,Bnei Yehuda Tel Aviv,5900000,30
1360,01/01/2013,Hapoel Nof HaGalil,550000,11
1361,01/01/2013,Hapoel Umm al-Fahm,100000,2
1362,01/01/2013,Hapoel Ramat Gan,4700000,31
1363,01/01/2013,Hapoel Rishon leZion,575000,27
1364,01/01/2013,Hapoel Petah Tikva,2680000,33
1365,01/01/2013,Ironi Tiberias,0,
1366,01/01/2013,SC Kfar Qasem,0,
1367,01/01/2013,Hapoel Kfar Saba,200000,14
1368,01/01/2013,Hapoel Acre,5050000,29
1369,01/01/2013,Hapoel Ramat haSharon,2550000,26
1370,01/01/2013,Agudat Sport Ashdod,0,
1371,01/01/2013,Hapoel Afula,75000,3
1372,15/01/2013,Maccabi Haifa,13150000,27
1373,15/01/2013,Maccabi Tel Aviv,14230000,25
1374,15/01/2013,Hapoel Beer Sheva,5980000,32
1375,15/01/2013,Maccabi Netanya,5000000,28
1376,15/01/2013,FC Ashdod,4150000,30
1377,15/01/2013,Beitar Jerusalem,5530000,26
1378,15/01/2013,Hapoel Haifa,5530000,30
1379,15/01/2013,Hapoel Tel Aviv,14380000,26
1380,15/01/2013,Ironi Kiryat Shmona,7200000,26
1381,15/01/2013,Hapoel Jerusalem,0,
1382,15/01/2013,Maccabi Bnei Reineh,0,
1383,15/01/2013,Hapoel Hadera,0,
1384,15/01/2013,Ihud Bnei Sakhnin,4980000,28
1385,15/01/2013,Sekzia Ness Ziona,1000000,22
1386,15/01/2013,Maccabi Petah Tikva,3180000,26
1387,15/01/2013,Bnei Yehuda Tel Aviv,5900000,30
1388,15/01/2013,Hapoel Nof HaGalil,675000,14
1389,15/01/2013,Hapoel Umm al-Fahm,100000,2
1390,15/01/2013,Hapoel Ramat Gan,4700000,31
1391,15/01/2013,Hapoel Rishon leZion,575000,27
1392,15/01/2013,Hapoel Petah Tikva,2630000,32
1393,15/01/2013,Ironi Tiberias,0,
1394,15/01/2013,SC Kfar Qasem,0,
1395,15/01/2013,Hapoel Kfar Saba,200000,14
1396,15/01/2013,Hapoel Acre,5050000,29
1397,15/01/2013,Hapoel Ramat haSharon,2550000,28
1398,15/01/2013,Agudat Sport Ashdod,0,
1399,15/01/2013,Hapoel Afula,75000,3
1400,01/02/2013,Maccabi Haifa,13150000,27
1401,01/02/2013,Maccabi Tel Aviv,16530000,26
1402,01/02/2013,Hapoel Beer Sheva,5980000,33
1403,01/02/2013,Maccabi Netanya,5000000,28
1404,01/02/2013,FC Ashdod,5150000,32
1405,01/02/2013,Beitar Jerusalem,6150000,28
1406,01/02/2013,Hapoel Haifa,5280000,28
1407,01/02/2013,Hapoel Tel Aviv,13180000,24
1408,01/02/2013,Ironi Kiryat Shmona,7200000,26
1409,01/02/2013,Hapoel Jerusalem,0,
1410,01/02/2013,Maccabi Bnei Reineh,0,
1411,01/02/2013,Hapoel Hadera,0,
1412,01/02/2013,Ihud Bnei Sakhnin,4980000,29
1413,01/02/2013,Sekzia Ness Ziona,1000000,22
1414,01/02/2013,Maccabi Petah Tikva,3180000,26
1415,01/02/2013,Bnei Yehuda Tel Aviv,5650000,29
1416,01/02/2013,Hapoel Nof HaGalil,675000,14
1417,01/02/2013,Hapoel Umm al-Fahm,100000,2
1418,01/02/2013,Hapoel Ramat Gan,4700000,31
1419,01/02/2013,Hapoel Rishon leZion,575000,27
1420,01/02/2013,Hapoel Petah Tikva,2630000,32
1421,01/02/2013,Ironi Tiberias,0,
1422,01/02/2013,SC Kfar Qasem,0,
1423,01/02/2013,Hapoel Kfar Saba,200000,14
1424,01/02/2013,Hapoel Acre,5550000,30
1425,01/02/2013,Hapoel Ramat haSharon,2880000,31
1426,01/02/2013,Agudat Sport Ashdod,0,
1427,01/02/2013,Hapoel Afula,75000,3
1428,15/02/2013,Maccabi Haifa,13150000,27
1429,15/02/2013,Maccabi Tel Aviv,18780000,28
1430,15/02/2013,Hapoel Beer Sheva,5980000,33
1431,15/02/2013,Maccabi Netanya,5500000,29
1432,15/02/2013,FC Ashdod,5150000,32
1433,15/02/2013,Beitar Jerusalem,6150000,28
1434,15/02/2013,Hapoel Haifa,5280000,28
1435,15/02/2013,Hapoel Tel Aviv,15580000,27
1436,15/02/2013,Ironi Kiryat Shmona,7200000,26
1437,15/02/2013,Hapoel Jerusalem,0,
1438,15/02/2013,Maccabi Bnei Reineh,0,
1439,15/02/2013,Hapoel Hadera,0,
1440,15/02/2013,Ihud Bnei Sakhnin,4980000,29
1441,15/02/2013,Sekzia Ness Ziona,1000000,22
1442,15/02/2013,Maccabi Petah Tikva,3180000,26
1443,15/02/2013,Bnei Yehuda Tel Aviv,5650000,29
1444,15/02/2013,Hapoel Nof HaGalil,675000,14
1445,15/02/2013,Hapoel Umm al-Fahm,100000,2
1446,15/02/2013,Hapoel Ramat Gan,5600000,32
1447,15/02/2013,Hapoel Rishon leZion,575000,27
1448,15/02/2013,Hapoel Petah Tikva,2630000,32
1449,15/02/2013,Ironi Tiberias,0,
1450,15/02/2013,SC Kfar Qasem,0,
1451,15/02/2013,Hapoel Kfar Saba,200000,14
1452,15/02/2013,Hapoel Acre,5650000,30
1453,15/02/2013,Hapoel Ramat haSharon,2880000,31
1454,15/02/2013,Agudat Sport Ashdod,0,
1455,15/02/2013,Hapoel Afula,75000,3
1456,01/03/2013,Maccabi Haifa,12700000,26
1457,01/03/2013,Maccabi Tel Aviv,16980000,25
1458,01/03/2013,Hapoel Beer Sheva,5830000,31
1459,01/03/2013,Maccabi Netanya,4850000,26
1460,01/03/2013,FC Ashdod,5550000,32
1461,01/03/2013,Beitar Jerusalem,6150000,26
1462,01/03/2013,Hapoel Haifa,5430000,28
1463,01/03/2013,Hapoel Tel Aviv,14530000,26
1464,01/03/2013,Ironi Kiryat Shmona,6400000,27
1465,01/03/2013,Hapoel Jerusalem,0,
1466,01/03/2013,Maccabi Bnei Reineh,0,
1467,01/03/2013,Hapoel Hadera,0,
1468,01/03/2013,Ihud Bnei Sakhnin,5150000,30
1469,01/03/2013,Sekzia Ness Ziona,1050000,23
1470,01/03/2013,Maccabi Petah Tikva,3380000,26
1471,01/03/2013,Bnei Yehuda Tel Aviv,5880000,30
1472,01/03/2013,Hapoel Nof HaGalil,675000,14
1473,01/03/2013,Hapoel Umm al-Fahm,100000,2
1474,01/03/2013,Hapoel Ramat Gan,5530000,31
1475,01/03/2013,Hapoel Rishon leZion,875000,29
1476,01/03/2013,Hapoel Petah Tikva,2930000,34
1477,01/03/2013,Ironi Tiberias,0,
1478,01/03/2013,SC Kfar Qasem,0,
1479,01/03/2013,Hapoel Kfar Saba,425000,17
1480,01/03/2013,Hapoel Acre,5250000,27
1481,01/03/2013,Hapoel Ramat haSharon,2780000,30
1482,01/03/2013,Agudat Sport Ashdod,0,
1483,01/03/2013,Hapoel Afula,75000,3
1484,15/03/2013,Maccabi Haifa,12700000,26
1485,15/03/2013,Maccabi Tel Aviv,16980000,25
1486,15/03/2013,Hapoel Beer Sheva,5830000,31
1487,15/03/2013,Maccabi Netanya,4850000,26
1488,15/03/2013,FC Ashdod,5550000,32
1489,15/03/2013,Beitar Jerusalem,6150000,26
1490,15/03/2013,Hapoel Haifa,5430000,28
1491,15/03/2013,Hapoel Tel Aviv,14530000,26
1492,15/03/2013,Ironi Kiryat Shmona,6400000,27
1493,15/03/2013,Hapoel Jerusalem,0,
1494,15/03/2013,Maccabi Bnei Reineh,0,
1495,15/03/2013,Hapoel Hadera,0,
1496,15/03/2013,Ihud Bnei Sakhnin,5150000,30
1497,15/03/2013,Sekzia Ness Ziona,1050000,23
1498,15/03/2013,Maccabi Petah Tikva,3380000,26
1499,15/03/2013,Bnei Yehuda Tel Aviv,5880000,30
1500,15/03/2013,Hapoel Nof HaGalil,675000,14
1501,15/03/2013,Hapoel Umm al-Fahm,100000,2
1502,15/03/2013,Hapoel Ramat Gan,5530000,31
1503,15/03/2013,Hapoel Rishon leZion,875000,29
1504,15/03/2013,Hapoel Petah Tikva,2930000,34
1505,15/03/2013,Ironi Tiberias,0,
1506,15/03/2013,SC Kfar Qasem,0,
1507,15/03/2013,Hapoel Kfar Saba,425000,17
1508,15/03/2013,Hapoel Acre,5250000,27
1509,15/03/2013,Hapoel Ramat haSharon,2780000,30
1510,15/03/2013,Agudat Sport Ashdod,0,
1511,15/03/2013,Hapoel Afula,75000,3
1512,01/04/2013,Maccabi Haifa,12700000,26
1513,01/04/2013,Maccabi Tel Aviv,16980000,25
1514,01/04/2013,Hapoel Beer Sheva,5830000,31
1515,01/04/2013,Maccabi Netanya,4850000,26
1516,01/04/2013,FC Ashdod,5550000,32
1517,01/04/2013,Beitar Jerusalem,6150000,26
1518,01/04/2013,Hapoel Haifa,5430000,28
1519,01/04/2013,Hapoel Tel Aviv,14530000,26
1520,01/04/2013,Ironi Kiryat Shmona,6400000,27
1521,01/04/2013,Hapoel Jerusalem,0,
1522,01/04/2013,Maccabi Bnei Reineh,0,
1523,01/04/2013,Hapoel Hadera,0,
1524,01/04/2013,Ihud Bnei Sakhnin,5150000,30
1525,01/04/2013,Sekzia Ness Ziona,1050000,23
1526,01/04/2013,Maccabi Petah Tikva,3380000,26
1527,01/04/2013,Bnei Yehuda Tel Aviv,5880000,30
1528,01/04/2013,Hapoel Nof HaGalil,675000,15
1529,01/04/2013,Hapoel Umm al-Fahm,100000,2
1530,01/04/2013,Hapoel Ramat Gan,5530000,31
1531,01/04/2013,Hapoel Rishon leZion,875000,29
1532,01/04/2013,Hapoel Petah Tikva,2930000,34
1533,01/04/2013,Ironi Tiberias,0,
1534,01/04/2013,SC Kfar Qasem,0,
1535,01/04/2013,Hapoel Kfar Saba,425000,17
1536,01/04/2013,Hapoel Acre,5250000,27
1537,01/04/2013,Hapoel Ramat haSharon,2780000,30
1538,01/04/2013,Agudat Sport Ashdod,0,
1539,01/04/2013,Hapoel Afula,75000,3
1540,15/04/2013,Maccabi Haifa,12700000,26
1541,15/04/2013,Maccabi Tel Aviv,16980000,25
1542,15/04/2013,Hapoel Beer Sheva,5830000,31
1543,15/04/2013,Maccabi Netanya,4850000,26
1544,15/04/2013,FC Ashdod,5550000,32
1545,15/04/2013,Beitar Jerusalem,6150000,26
1546,15/04/2013,Hapoel Haifa,5430000,28
1547,15/04/2013,Hapoel Tel Aviv,14530000,26
1548,15/04/2013,Ironi Kiryat Shmona,6400000,27
1549,15/04/2013,Hapoel Jerusalem,0,
1550,15/04/2013,Maccabi Bnei Reineh,0,
1551,15/04/2013,Hapoel Hadera,0,
1552,15/04/2013,Ihud Bnei Sakhnin,5150000,30
1553,15/04/2013,Sekzia Ness Ziona,1050000,23
1554,15/04/2013,Maccabi Petah Tikva,3380000,26
1555,15/04/2013,Bnei Yehuda Tel Aviv,5880000,30
1556,15/04/2013,Hapoel Nof HaGalil,675000,15
1557,15/04/2013,Hapoel Umm al-Fahm,100000,2
1558,15/04/2013,Hapoel Ramat Gan,5430000,30
1559,15/04/2013,Hapoel Rishon leZion,875000,29
1560,15/04/2013,Hapoel Petah Tikva,2930000,34
1561,15/04/2013,Ironi Tiberias,0,
1562,15/04/2013,SC Kfar Qasem,0,
1563,15/04/2013,Hapoel Kfar Saba,825000,18
1564,15/04/2013,Hapoel Acre,5250000,27
1565,15/04/2013,Hapoel Ramat haSharon,2780000,30
1566,15/04/2013,Agudat Sport Ashdod,0,
1567,15/04/2013,Hapoel Afula,75000,3
1568,01/05/2013,Maccabi Haifa,12700000,26
1569,01/05/2013,Maccabi Tel Aviv,16980000,25
1570,01/05/2013,Hapoel Beer Sheva,5830000,31
1571,01/05/2013,Maccabi Netanya,4850000,27
1572,01/05/2013,FC Ashdod,5550000,32
1573,01/05/2013,Beitar Jerusalem,6150000,26
1574,01/05/2013,Hapoel Haifa,5430000,29
1575,01/05/2013,Hapoel Tel Aviv,14530000,26
1576,01/05/2013,Ironi Kiryat Shmona,6400000,27
1577,01/05/2013,Hapoel Jerusalem,0,
1578,01/05/2013,Maccabi Bnei Reineh,0,
1579,01/05/2013,Hapoel Hadera,0,
1580,01/05/2013,Ihud Bnei Sakhnin,5150000,30
1581,01/05/2013,Sekzia Ness Ziona,1050000,23
1582,01/05/2013,Maccabi Petah Tikva,3380000,26
1583,01/05/2013,Bnei Yehuda Tel Aviv,5880000,30
1584,01/05/2013,Hapoel Nof HaGalil,675000,15
1585,01/05/2013,Hapoel Umm al-Fahm,100000,2
1586,01/05/2013,Hapoel Ramat Gan,5430000,30
1587,01/05/2013,Hapoel Rishon leZion,875000,29
1588,01/05/2013,Hapoel Petah Tikva,2930000,34
1589,01/05/2013,Ironi Tiberias,0,
1590,01/05/2013,SC Kfar Qasem,0,
1591,01/05/2013,Hapoel Kfar Saba,825000,18
1592,01/05/2013,Hapoel Acre,5250000,27
1593,01/05/2013,Hapoel Ramat haSharon,2780000,30
1594,01/05/2013,Agudat Sport Ashdod,0,
1595,01/05/2013,Hapoel Afula,75000,3
1596,15/05/2013,Maccabi Haifa,12700000,26
1597,15/05/2013,Maccabi Tel Aviv,16980000,25
1598,15/05/2013,Hapoel Beer Sheva,5830000,31
1599,15/05/2013,Maccabi Netanya,4850000,27
1600,15/05/2013,FC Ashdod,5550000,32
1601,15/05/2013,Beitar Jerusalem,6150000,26
1602,15/05/2013,Hapoel Haifa,5930000,30
1603,15/05/2013,Hapoel Tel Aviv,14530000,26
1604,15/05/2013,Ironi Kiryat Shmona,6400000,27
1605,15/05/2013,Hapoel Jerusalem,0,
1606,15/05/2013,Maccabi Bnei Reineh,0,
1607,15/05/2013,Hapoel Hadera,0,
1608,15/05/2013,Ihud Bnei Sakhnin,5150000,30
1609,15/05/2013,Sekzia Ness Ziona,1050000,23
1610,15/05/2013,Maccabi Petah Tikva,3380000,26
1611,15/05/2013,Bnei Yehuda Tel Aviv,5380000,29
1612,15/05/2013,Hapoel Nof HaGalil,675000,15
1613,15/05/2013,Hapoel Umm al-Fahm,100000,2
1614,15/05/2013,Hapoel Ramat Gan,5430000,32
1615,15/05/2013,Hapoel Rishon leZion,875000,29
1616,15/05/2013,Hapoel Petah Tikva,2930000,34
1617,15/05/2013,Ironi Tiberias,0,
1618,15/05/2013,SC Kfar Qasem,0,
1619,15/05/2013,Hapoel Kfar Saba,725000,17
1620,15/05/2013,Hapoel Acre,5250000,27
1621,15/05/2013,Hapoel Ramat haSharon,2780000,30
1622,15/05/2013,Agudat Sport Ashdod,0,
1623,15/05/2013,Hapoel Afula,75000,3
1624,01/06/2013,Maccabi Haifa,12700000,27
1625,01/06/2013,Maccabi Tel Aviv,16980000,25
1626,01/06/2013,Hapoel Beer Sheva,5830000,31
1627,01/06/2013,Maccabi Netanya,4850000,27
1628,01/06/2013,FC Ashdod,5550000,32
1629,01/06/2013,Beitar Jerusalem,6150000,26
1630,01/06/2013,Hapoel Haifa,5930000,30
1631,01/06/2013,Hapoel Tel Aviv,14530000,26
